sensor_id,latitude,longitude,start_time_local,end_time_local,start_time_unix_epoch,end_time_unix_epoch
37:2F:02:10:6A:80,33.044,-96.713,2025-01-06T00:43:55.765000-06:00,2025-01-06T02:14:04.786177-06:00,1.73615E+12,1.73615E+12
B5:7C:A5:51:7F:C4,32.926,-96.526,2025-01-06T00:44:02.911000-06:00,2025-01-06T01:18:42.002164-06:00,1.73615E+12,1.73615E+12
6D:4F:13:10:6A:80,32.216,-98.227,2025-01-06T00:46:40.317000-06:00,2025-01-06T01:26:49.150564-06:00,1.73615E+12,1.73615E+12
63:29:04:10:6A:80,33.145,-96.718,2025-01-06T00:47:12.495000-06:00,2025-01-06T01:29:23.238649-06:00,1.73615E+12,1.73615E+12
E7:E9:02:10:6A:80,32.817,-96.823,2025-01-06T00:47:31.458000-06:00,2025-01-06T01:18:18.805211-06:00,1.73615E+12,1.73615E+12
A1:FE:04:10:6A:80,32.192,-95.852,2025-01-06T00:47:34.506000-06:00,2025-01-06T01:29:22.681677-06:00,1.73615E+12,1.73615E+12
47:83:08:10:6A:80,33.274,-96.804,2025-01-06T00:48:06.319000-06:00,2025-01-06T04:23:25.452868-06:00,1.73615E+12,1.73616E+12
95:2C:03:10:6A:80,33.275,-96.804,2025-01-06T00:48:08.919000-06:00,2025-01-06T04:23:14.172571-06:00,1.73615E+12,1.73616E+12
99:6B:11:10:6A:80,32.612,-97.125,2025-01-06T00:48:28.007000-06:00,2025-01-06T08:59:32.187689-06:00,1.73615E+12,1.73618E+12
E3:F7:13:10:6A:80,32.912,-97.219,2025-01-06T00:50:44.473000-06:00,2025-01-06T02:43:36.791529-06:00,1.73615E+12,1.73615E+12
73:B4:15:10:6A:80,32.764,-97.236,2025-01-06T00:50:47.777000-06:00,2025-01-06T00:51:58.799971-06:00,1.73615E+12,1.73615E+12
DD:B4:A6:51:7F:C4,33.206,-96.799,2025-01-06T00:52:24.335000-06:00,2025-01-06T02:15:22.514906-06:00,1.73615E+12,1.73615E+12
E3:9B:0E:10:6A:80,33.278,-96.809,2025-01-06T00:54:03.788000-06:00,2025-01-06T03:32:36.303500-06:00,1.73615E+12,1.73616E+12
77:74:14:10:6A:80,32.957,-97.003,2025-01-06T00:57:32.698000-06:00,2025-01-06T08:44:34.541096-06:00,1.73615E+12,1.73617E+12
15:22:A6:51:7F:C4,32.883,-96.558,2025-01-06T00:58:59.456000-06:00,2025-01-06T09:35:10.295265-06:00,1.73615E+12,1.73618E+12
13:88:A7:51:7F:C4,33.624,-97.126,2025-01-06T01:04:30.438000-06:00,2025-01-06T01:49:43.000416-06:00,1.73615E+12,1.73615E+12
E7:35:12:10:6A:80,32.614,-97.794,2025-01-06T01:08:18.362000-06:00,2025-01-06T01:44:56.088580-06:00,1.73615E+12,1.73615E+12
C9:C3:02:10:6A:80,32.849,-97.103,2025-01-06T01:09:51.219000-06:00,2025-01-06T06:19:42.957288-06:00,1.73615E+12,1.73617E+12
E3:F6:19:10:6A:80,33.511,-96.396,2025-01-06T01:10:12.727000-06:00,2025-01-06T09:16:37.429049-06:00,1.73615E+12,1.73618E+12
F9:4A:A7:51:7F:C4,32.623,-96.785,2025-01-06T01:10:50.836000-06:00,2025-01-06T02:23:20.250636-06:00,1.73615E+12,1.73615E+12
D1:AD:A6:51:7F:C4,32.658,-96.905,2025-01-06T01:11:24.899000-06:00,2025-01-06T01:16:37.207778-06:00,1.73615E+12,1.73615E+12
ED:8C:A7:51:7F:C4,33.343,-96.505,2025-01-06T01:11:29.340000-06:00,2025-01-06T03:04:14.410385-06:00,1.73615E+12,1.73615E+12
4F:8D:00:10:6A:80,33.338,-96.49,2025-01-06T01:11:29.518000-06:00,2025-01-06T03:04:17.879795-06:00,1.73615E+12,1.73615E+12
AF:F9:0B:10:6A:80,33.181,-96.549,2025-01-06T01:11:29.697000-06:00,2025-01-06T03:04:43.522001-06:00,1.73615E+12,1.73615E+12
65:C5:09:10:6A:80,33.27,-96.565,2025-01-06T01:11:29.756000-06:00,2025-01-06T03:04:15.408158-06:00,1.73615E+12,1.73615E+12
39:3D:75:40:EE:C0,33.18,-96.549,2025-01-06T01:11:32.283000-06:00,2025-01-06T03:03:57.730811-06:00,1.73615E+12,1.73615E+12
1B:A7:10:10:6A:80,33.21,-96.533,2025-01-06T01:11:33.420000-06:00,2025-01-06T03:21:31.846954-06:00,1.73615E+12,1.73616E+12
3B:84:0C:10:6A:80,32.847,-97.12,2025-01-06T01:12:08.049000-06:00,2025-01-06T02:32:53.222029-06:00,1.73615E+12,1.73615E+12
2B:DB:0D:10:6A:80,33.143,-96.867,2025-01-06T01:16:19.989000-06:00,2025-01-06T08:09:24.754223-06:00,1.73615E+12,1.73617E+12
2B:01:27:10:6A:80,33.041,-96.678,2025-01-06T01:17:04.421000-06:00,2025-01-06T09:20:35.300504-06:00,1.73615E+12,1.73618E+12
77:58:04:10:6A:80,32.638,-97.373,2025-01-06T01:17:49.169000-06:00,2025-01-06T02:24:41.823290-06:00,1.73615E+12,1.73615E+12
B1:E7:07:10:6A:80,32.982,-96.759,2025-01-06T01:18:07.875000-06:00,2025-01-06T03:11:02.718730-06:00,1.73615E+12,1.73615E+12
71:34:08:10:6A:80,32.729,-96.833,2025-01-06T01:18:29.518000-06:00,2025-01-06T01:58:47.322624-06:00,1.73615E+12,1.73615E+12
B5:7C:A5:51:7F:C4,32.926,-96.526,2025-01-06T01:19:15.779000-06:00,2025-01-06T02:20:49.812215-06:00,1.73615E+12,1.73615E+12
81:1C:A6:51:7F:C4,32.758,-96.695,2025-01-06T01:19:54.083000-06:00,2025-01-06T02:06:41.389231-06:00,1.73615E+12,1.73615E+12
51:0B:AB:51:7F:C4,33.042,-96.679,2025-01-06T01:20:51.569000-06:00,2025-01-06T02:28:27.294330-06:00,1.73615E+12,1.73615E+12
A1:01:AB:51:7F:C4,33.033,-96.723,2025-01-06T01:22:09.010000-06:00,2025-01-06T02:30:41.820135-06:00,1.73615E+12,1.73615E+12
5F:3D:15:10:6A:80,33.054,-96.903,2025-01-06T01:28:53.356000-06:00,2025-01-06T01:29:43.965751-06:00,1.73615E+12,1.73615E+12
5F:0C:A9:51:7F:C4,32.966,-96.985,2025-01-06T01:29:00.217000-06:00,2025-01-06T03:48:03.753596-06:00,1.73615E+12,1.73616E+12
